set_code,set_name,company,cat_ref,imAge_A,image_ext,has_back_image,jurisdiction,jurisdiction_type,year,serial_number,width_inches,height_inches,value_mt,value_ex,value_vg,value_g,value_fr,value_po,variety_key,variety_notes,state_embossed,legend_embossed,notes,sort_order
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,BE,png,1,Belgium,foreign,1968,,2.75,1,2,1.5,1,0.75,,,i,Rev. # 10 - Jacques Chocolate,n,0,Plate #44,52600
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,BE,png,1,Belgium,foreign,1968,,2.75,1,2,1.5,1,0.75,,,j,Rev. # 11 - Marcassou-Ardenne Salami,n,0,Plate #44,52700
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,BE,png,1,Belgium,foreign,1968,,2.75,1,2,1.5,1,0.75,,,k,Rev. # 12 - no advertising,n,0,Plate #44,52800
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,MOR,png,1,Morocco,foreign,1968,,2.75,1,2,1.5,1,0.75,,,base,Rev. # 1 - Maple Leaf (verkijgbaar bij),n,0,Plate #45,52900
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,MOR,png,1,Morocco,foreign,1968,,2.75,1,2,1.5,1,0.75,,,a,Rev. # 2 - Maple Leaf + Pepsi,n,0,Plate #45,53000
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,MOR,png,1,Morocco,foreign,1968,,2.75,1,2,1.5,1,0.75,,,b,Rev. # 3 - Maple Leaf + Pepsi + Heinz,n,0,Plate #45,53100
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,MOR,png,1,Morocco,foreign,1968,,2.75,1,2,1.5,1,0.75,,,c,Rev. # 4 - Maple Leaf ONLY,n,0,Plate #45,53200
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,MOR,png,1,Morocco,foreign,1968,,2.75,1,2,1.5,1,0.75,,,d,Rev. # 5 - Rombouts Silver Back,n,0,Plate #45,53300
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,MOR,png,1,Morocco,foreign,1968,,2.75,1,2,1.5,1,0.75,,,e,Rev. # 6 - Rombouts White Back,n,0,Plate #45,53400
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,MOR,png,1,Morocco,foreign,1968,,2.75,1,2,1.5,1,0.75,,,f,Rev. # 7 - White Back - La vache qui rit (Laughing Cow),n,0,Plate #45,53500
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,MOR,png,1,Morocco,foreign,1968,,2.75,1,2,1.5,1,0.75,,,g,Rev. # 8 - Silver Back - La vache qui rit (Laughing Cow),n,0,Plate #45,53600
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,MOR,png,1,Morocco,foreign,1968,,2.75,1,2,1.5,1,0.75,,,h,Rev. # 9 - Star Blanc (Italian),n,0,Plate #45,53700
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,MOR,png,1,Morocco,foreign,1968,,2.75,1,2,1.5,1,0.75,,,i,Rev. # 10 - Jacques Chocolate,n,0,Plate #45,53800
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,MOR,png,1,Morocco,foreign,1968,,2.75,1,2,1.5,1,0.75,,,j,Rev. # 11 - Marcassou-Ardenne Salami,n,0,Plate #45,53900
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,MOR,png,1,Morocco,foreign,1968,,2.75,1,2,1.5,1,0.75,,,k,Rev. # 12 - no advertising,n,0,Plate #45,54000
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,PN,png,1,Panama,foreign,1968,,2.75,1,2,1.5,1,0.75,,,base,Rev. # 1 - Maple Leaf (verkijgbaar bij),n,0,Plate #46,54100
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,PN,png,1,Panama,foreign,1968,,2.75,1,2,1.5,1,0.75,,,a,Rev. # 2 - Maple Leaf + Pepsi,n,0,Plate #46,54200
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,PN,png,1,Panama,foreign,1968,,2.75,1,2,1.5,1,0.75,,,b,Rev. # 3 - Maple Leaf + Pepsi + Heinz,n,0,Plate #46,54300
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,PN,png,1,Panama,foreign,1968,,2.75,1,2,1.5,1,0.75,,,c,Rev. # 4 - Maple Leaf ONLY,n,0,Plate #46,54400
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,PN,png,1,Panama,foreign,1968,,2.75,1,2,1.5,1,0.75,,,d,Rev. # 5 - Rombouts Silver Back,n,0,Plate #46,54500
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,PN,png,1,Panama,foreign,1968,,2.75,1,2,1.5,1,0.75,,,e,Rev. # 6 - Rombouts White Back,n,0,Plate #46,54600
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,PN,png,1,Panama,foreign,1968,,2.75,1,2,1.5,1,0.75,,,f,Rev. # 7 - White Back - La vache qui rit (Laughing Cow),n,0,Plate #46,54700
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,PN,png,1,Panama,foreign,1968,,2.75,1,2,1.5,1,0.75,,,g,Rev. # 8 - Silver Back - La vache qui rit (Laughing Cow),n,0,Plate #46,54800
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,PN,png,1,Panama,foreign,1968,,2.75,1,2,1.5,1,0.75,,,h,Rev. # 9 - Star Blanc (Italian),n,0,Plate #46,54900
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,PN,png,1,Panama,foreign,1968,,2.75,1,2,1.5,1,0.75,,,i,Rev. # 10 - Jacques Chocolate,n,0,Plate #46,55000
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,PN,png,1,Panama,foreign,1968,,2.75,1,2,1.5,1,0.75,,,j,Rev. # 11 - Marcassou-Ardenne Salami,n,0,Plate #46,55100
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,PN,png,1,Panama,foreign,1968,,2.75,1,2,1.5,1,0.75,,,k,Rev. # 12 - no advertising,n,0,Plate #46,55200
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,ECU,png,1,Ecuador,foreign,1968,,2.75,1,2,1.5,1,0.75,,,base,Rev. # 1 - Maple Leaf (verkijgbaar bij),n,0,Plate #47,55300
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,ECU,png,1,Ecuador,foreign,1968,,2.75,1,2,1.5,1,0.75,,,a,Rev. # 2 - Maple Leaf + Pepsi,n,0,Plate #47,55400
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,ECU,png,1,Ecuador,foreign,1968,,2.75,1,2,1.5,1,0.75,,,b,Rev. # 3 - Maple Leaf + Pepsi + Heinz,n,0,Plate #47,55500
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,ECU,png,1,Ecuador,foreign,1968,,2.75,1,2,1.5,1,0.75,,,c,Rev. # 4 - Maple Leaf ONLY,n,0,Plate #47,55600
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,ECU,png,1,Ecuador,foreign,1968,,2.75,1,2,1.5,1,0.75,,,d,Rev. # 5 - Rombouts Silver Back,n,0,Plate #47,55700
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,ECU,png,1,Ecuador,foreign,1968,,2.75,1,2,1.5,1,0.75,,,e,Rev. # 6 - Rombouts White Back,n,0,Plate #47,55800
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,ECU,png,1,Ecuador,foreign,1968,,2.75,1,2,1.5,1,0.75,,,f,Rev. # 7 - White Back - La vache qui rit (Laughing Cow),n,0,Plate #47,55900
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,ECU,png,1,Ecuador,foreign,1968,,2.75,1,2,1.5,1,0.75,,,g,Rev. # 8 - Silver Back - La vache qui rit (Laughing Cow),n,0,Plate #47,56000
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,ECU,png,1,Ecuador,foreign,1968,,2.75,1,2,1.5,1,0.75,,,h,Rev. # 9 - Star Blanc (Italian),n,0,Plate #47,56100
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,ECU,png,1,Ecuador,foreign,1968,,2.75,1,2,1.5,1,0.75,,,i,Rev. # 10 - Jacques Chocolate,n,0,Plate #47,56200
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,ECU,png,1,Ecuador,foreign,1968,,2.75,1,2,1.5,1,0.75,,,j,Rev. # 11 - Marcassou-Ardenne Salami,n,0,Plate #47,56300
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,ECU,png,1,Ecuador,foreign,1968,,2.75,1,2,1.5,1,0.75,,,k,Rev. # 12 - no advertising,n,0,Plate #47,56400
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,CHN,png,1,China,foreign,1968,,2.75,1,2,1.5,1,0.75,,,base,Rev. # 1 - Maple Leaf (verkijgbaar bij),n,0,Plate #48,56500
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,CHN,png,1,China,foreign,1968,,2.75,1,2,1.5,1,0.75,,,a,Rev. # 2 - Maple Leaf + Pepsi,n,0,Plate #48,56600
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,CHN,png,1,China,foreign,1968,,2.75,1,2,1.5,1,0.75,,,b,Rev. # 3 - Maple Leaf + Pepsi + Heinz,n,0,Plate #48,56700
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,CHN,png,1,China,foreign,1968,,2.75,1,2,1.5,1,0.75,,,c,Rev. # 4 - Maple Leaf ONLY,n,0,Plate #48,56800
