set_code,set_name,company,cat_ref,imAge_A,image_ext,has_back_image,jurisdiction,jurisdiction_type,year,serial_number,width_inches,height_inches,value_mt,value_ex,value_vg,value_g,value_fr,value_po,variety_key,variety_notes,state_embossed,legend_embossed,notes,sort_order
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,AR,png,1,Arkansas,us_state,1936,35-698,3.25,1.5,25,15,10,7,3,,base,,0,0,,10
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,CT,png,1,Connecticut,us_state,1936,6980,3.25,1.5,25,15,10,7,3,,base,,0,0,,20
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,FL,png,1,Florida,us_state,1936,624-573,3.25,1.5,25,15,10,7,3,,base,,0,0,,30
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,IL,png,1,Illinois,us_state,1936,621-194,3.25,1.5,25,15,10,7,3,,base,,0,0,,40
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,IN,png,1,Indiana,us_state,1936,5493,3.25,1.5,25,15,10,7,3,,base,,0,0,,50
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,IA,png,1,Iowa,us_state,1936,50-2496,3.25,1.5,25,15,10,7,3,,base,,0,0,,60
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,KS,png,1,Kansas,us_state,1936,23-7498,3.25,1.5,25,15,10,7,3,,base,,0,0,,70
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,KY,png,1,Kentucky,us_state,1936,216-194,3.25,1.5,25,15,10,7,3,,base,,0,0,,80
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,LA,png,1,Louisiana,us_state,1936,20-569,3.25,1.5,25,15,10,7,3,,base,,0,0,,90
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,ME,png,1,Maine,us_state,1936,601-510,3.25,1.5,25,15,10,7,3,,base,,0,0,,100
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,MD,png,1,Maryland,us_state,1936,16-709,3.25,1.5,25,15,10,7,3,,base,,0,0,,110
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,MA,png,1,Massachusetts,us_state,1936,620-785,3.25,1.5,25,15,10,7,3,,base,,0,0,,120
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,MI,png,1,Michigan,us_state,1936,A24673,3.25,1.5,25,15,10,7,3,,base,,0,0,,130
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,MN,png,1,Minnesota,us_state,1936,A39-931,3.25,1.5,25,15,10,7,3,,base,,0,0,,140
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,MS,png,1,Mississippi,us_state,1936,106-907,3.25,1.5,25,15,10,7,3,,base,,0,0,,150
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,MO,png,1,Missouri,us_state,1936,501-100,3.25,1.5,25,15,10,7,3,,base,,0,0,,160
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,MT,png,1,Montana,us_state,1936,10-356,3.25,1.5,25,15,10,7,3,,base,,0,0,,170
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,NE,png,1,Nebraska,us_state,1936,19-294,3.25,1.5,25,15,10,7,3,,base,,0,0,,180
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,NH,png,1,New Hampshire,us_state,1936,98-542,3.25,1.5,25,15,10,7,3,,base,,0,0,,190
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,NJ,png,1,New Jersey,us_state,1936,H9078,3.25,1.5,25,15,10,7,3,,base,,0,0,,200
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,NM,png,1,New Mexico,us_state,1936,362,3.25,1.5,25,15,10,7,3,,base,,0,0,,210
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,NY,png,1,New York,us_state,1936,5Y62-43,3.25,1.5,25,15,10,7,3,,base,,0,0,,220
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,NC,png,1,North Carolina,us_state,1936,630-920,3.25,1.5,25,15,10,7,3,,base,,0,0,,230
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,ND,png,1,North Dakota,us_state,1936,2-369,3.25,1.5,25,15,10,7,3,,base,,0,0,,240
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,OH,png,1,Ohio,us_state,1936,GT-284,3.25,1.5,25,15,10,7,3,,base,,0,0,,250
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,OK,png,1,Oklahoma,us_state,1936,529-846,3.25,1.5,25,15,10,7,3,,base,,0,0,,260
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,OR,png,1,Oregon,us_state,1936,205-946,3.25,1.5,25,15,10,7,3,,base,,0,0,,270
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,SC,png,1,South Carolina,us_state,1936,A-02-946,3.25,1.5,25,15,10,7,3,,base,,0,0,,280
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,SD,png,1,South Dakota,us_state,1936,26-5321,3.25,1.5,25,15,10,7,3,,base,,0,0,,290
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,TX,png,1,Texas,us_state,1936,502-496,3.25,1.5,25,15,10,7,3,,base,,0,0,,300
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,UT,png,1,Utah,us_state,1936,102-694,3.25,1.5,25,15,10,7,3,,base,,0,0,,310
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,VT,png,1,Vermont,us_state,1936,19-306,3.25,1.5,25,15,10,7,3,,base,,0,0,,320
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,VA,png,1,Virginia,us_state,1936,85-964,3.25,1.5,25,15,10,7,3,,base,,0,0,,330
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,WV,png,1,West Virginia,us_state,1936,203-169,3.25,1.5,25,15,10,7,3,,base,,0,0,,340
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,WI,png,1,Wisconsin,us_state,1936,6589,3.25,1.5,25,15,10,7,3,,base,,0,0,,350
go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,WY,png,1,Wyoming,us_state,1936,23-8195,3.25,1.5,25,15,10,7,3,,base,,0,0,,360
